ID,kat,type,brand,nama,alamat,cp,email,telp,fax,product,created_at,update_at,deleted_at
,GENERAL,T,china,"Denko Wahana Sakti, PT",Jakarta Pusat,Bp. Danu (082113570999/70204355),daru_denko@yahoo.com,021-63865199,021-63865209,Trolley,,,
,SAFETY,T,branded,Dunia Saftindo,Mega Kemayoran,Anjani,anjani@safetyindonesia.com,021-29371188,021-65865614,safety product,,,
,PERALATAN LISTRIK,M,Matsuyama,Gunindo Trimukti,,Bp. Unam ,,021-4513877/4534303/ (087881108844/021-96070057,021-4513878-79,Stabilizer ,,,
,GENERAL,AD,Hilti,Hilti Indonesia,,"Andriana, Reza",,0816 906 145 ; 7890850,7890845,Anchor,,,
,GENERAL,M,local,HERDATAMA INDONUSA,"Jl.DMC Raya No.00 Jati Waringin, Jakarta Timur 17411","Johana, Lily",,021-68380008/9,021-84996442/767,Tanki,,,
,CRANE,T,,HUTAMA WISESA KERTAKARYA,,Hendro Wibowo ,,811894696,,JIB CRANE,,,
,RACK,M,dexion,Intramega Global (Dexion),Prominence 38D No. 66-67,Angga (sales Engineer),,021-36836478/79/ 08112555128,021-36836470,Rak Gudang,,,
,GENERAL,T,,Karya Mitra Sejati,LTC Glodok,Kelvin (081310116259),kelvin.karyamitrasejati@gmail.com,021-56161367,021-62302026,General Supplier,,,
,CRANE,AD,Kone,"Konecranes, PT",,Paryaman (Mgr) - 08119937102/08112712348,sales.indonesia@konecranes.com,Phone : +62 21 34269767,Fax      : +62 21 36765295,Cranes,,,
,SERVICE,AD,TCM,KASANA,"Jalan Lingkar Luar Barat No. 9, Rawa Buaya, Cengkareng, Jakarta Barat 11740, Indonesia",Bp. Akbar  085280053661,Email: akbar@kasana.co.id,T (62-21) 5435-9999  ,,Forklift TCM,,,
,GENERAL,T,,KTM Metro,glodok,Dini,,021-6261141,021-6497894,Kawat Galvanis,,,
,PACKAGING,T,,Mahkota Mas,,Rani (085695602504),rani.mahkotamasmakmur@yahoo.com,021-29093811,021-29093840,"Pallet (baru, bekas) plastik",,,
,GENERAL,AD,Gagemaker,"MELINDO DIPTA , PT",Jl.Pejuangan No.8 Kebon Jeruk,Husin (+62 815 8079 626),Email   : husin.suanarto@melindo.co.id ,+62 21 2966 1350 ,+62 21 2966 1343,"Gagemaker, lonestar",,,
,IKLAN,T,local,Menu Advertising,,Pak Hendi,, 54357047 / 48,,"desain, Sticker",,,
,ELECTRONIC,T,ICOM,Mirusa Shop,jl guntur no.32 jakarta,ibu woro,mirusa@cbn.net.id,021-8291900,021-8291769,HT,,,
,LISTRIK,AD,,Noxindo Cakrawala,,yudi 087880800636,yudi@noxindo.com,021075920047/48,,Kabel,,,
,PACKAGING,M,power pack,"Power Pack, PT",". Alam Sutera Boulevard, Pakulonan, Tangerang, ",085216005027 (bp. Ferdi),E. info@pt-powerpack.com,P. +62.21.68918808,F. +62.21.53129126,"strapping band, Power pack",,,
,PACKAGING,T,meranti,Sejahtera Sejati,,PAK JAYA,,811865194,021 65303928,Balok Kayu / pallet kayu,,,
,GENERAL,AD,,Sinar Mas Abadi,"Jl. Joglo Raya No.79, RT.4/RW.8, Joglo, Kembangan",ibu inge,,021-50901137,,semen sika,,,
,MESIN,AD,,PT Stahlwerk Teknologi,"JL Bungur Besar Raya, RT.4/RW.1, Gn. Sahari Sel.",,,021-4225888,,MESIN LAS MMA TIG Cut ,,,
,GENERAL,T,,"Surya Perkasa, CV",komp. Taman cilegon indah A3 no.16-17,PAK TARTO,,0254-377694/0811 123 216,0254-377051,General supplier,,,
,MOBIL,m,,SUMBER TEKNIK MOTOR,Jalan Kapuk Muara Blok A No.21-24,Bp. William,,5405543-66601580,66601610,Karoseri Bak Mobil,,,
,RENTAL FORKLIFT,S,,"Ubaidillah, Bpk",,bpk Ubaidillah,," 0878 7195 6900, 0812 9596 593",,Rental Forklift Crane,,,
,RENTAL FORKLIFT,S,,Jatim,,"bos jatim, pak soni",,087771344716, (0816928159/70773587),Rental Forklift Crane,,,
,LISTRIK,T,,Trimulia sarana agung,jl kayu besar blok D1 no.8 tegal alur,hendri(081315911817)/yasokhi(082369954353),marketing@trimulia.com,021-55953068,5560508,panel,,,
,GENERAL,T,,BUDI KARYA UD.,"P.Jayakarta, Komp 66 B-26 Jak Pus10730",Bpk. Dolfy,,085780261109,"6243245,6010247",Sarung Tangan Bintik,,,
,BUILDING CONSUMABLES/NEEDS,AD,SULO,TRITUNGGAL MAHASARANA PT.,Mangga Dua Square Lt.2 AP 51-53 Jak-Ut,Bpk. Andreas,,,62310357,Tempat Sampah,,,
,KIMIA,T,Malathion,ALAM KIMIA,Jl. Gajah Mada 103 Keagungan Tamansari,Ibu Susan ,,,6332614,Obat fogging,,,
,LISTRIK,AD,,GAJAH MAS TEKNIK,jl sukarela no.37A gedung panjang,Hendra,,021-6616225,6631338,Kabel ,,,
,LISTRIK,T,,"CAHAYA, TOKO",,Ibu Yani,,021-6012170,6290716,lampu & listrik (eceran),,,
,LISTRIK,T,,CENTRAL ELECTRIC,Kenari lama Lantai dasar blok AKS no. 78,Ko Afen,,,3911021,Kabel ,,,
,SERVICE,T,,PABX SOLUTION,sunter,EKO LISTIAN,ekoristian@gmail.com,021-94948198/08174997367,,LINE TLP,,,
,MESIN,AD,,PASAR MESIN 88,"Jln. Mangga Besar Raya 183,",,email: sales@pasarmesin88.com,Tel: 021-6251141,Fax: 021-6251149,Alat Tools Industri,,,
,GENERAL,T,,DELI JAYA – ,"Jln. Mangga Besar Raya 183,",Anton Wijaya,Email : so.anton.w@gmail.com,Telp   :62-21-625 1141,Fax     :62-21-639 78 70,Construction Equipment,,,
,KIMIA,AD,,"Eonchemicals Putra, PT","Gedung Gajah Unit AB, Jl. Dr. Sahardjo no. 111",Majid Darma Wildanun,,021 7044 1411 / 22 | ,Fax : 021 829 3850,CHEMICALS,,,
,KONTRAKTOR,M,,PT.Parama Inti Graha,"Jl. Pinang Ranti No. 07, Jaktim ",paulus lim,aboeya@gmail.com,Tel : 82416509 ; 0816938731 ; 08161142812,,KONTRAKTOR,,,
,GAS,T,,Family Gas (H. Watta),"Jl.Raya Salembaran, Kp. Melayu, Tangerang",,,081384908182 – 021-55932002,,Gas,,,
,BETON PRACETAK,M,DURACON,PT. Duraconindo Pratama,Jl. Ciputat Raya No. 20H Pondok Pinang,,, 021 - 75907375,021 - 7509486,Beton pracetak,,,
,IT,T,,HILINK,MANGGA DUA,HANDY,,021-68807518/51468800/081513013530,,IT PRODUCT,,,
,TOOLS,AD,,PT Krisbow Indonesia,PURI KEMBANGAN,M.Esa Permana,tpksales1cengkareng@krisbow.com,Telp: 021-2951 8488 /89 / 90,Fax: 021-71234 264,mesin / industrial tools,,,
,PERCETAKAN,M,,Percetakan Teguh Jr Dadang,,Bp. Dadang,,021-90546106,,PERCETAKAN,,,
,INTERIOR,T,Lion,TOKO KEMENANGAN,,Chandra,tjandratirta@yahoo.co.id,021-6598386/6498209,,Locker,,,
,GENERAL,T,,CAHAYA LOGAM,,u/p Hasan,,021-6280069/6010049,,NYLON / TEFLON,,,
,GAS,M,,BSG,,Poni,bsg@bsg-gases.co.id,-81380379452,021-8801220,gas,,,
,BETON PRACETAK,M,DUSASPUN,dusaspun,,,hotlandbeton@gmail.com,08118821868,021-75907375,Beton pracetak,,,
,IKLAN,T,,Reklame panca indah,JL P JAYAKARTA NO.50A SEBELAH IMORA,,,021-6515964 / 97584155,,iklan reklame,,,
,PACKAGING,T,local,maju sentosa,pasar pagi,hunsen,hunsen.wiriadinata@gmail.com; hunsenwiriadinata@gmail.com,021-6315119,021-63851960,plastik packing,,,
,PAINT,M,,PROPAN JAYA,roxy,EKOPUTRA,ekoputroutomo@propanraya.com,-81311655978,FAX:021-55651103,"EPOXY, THINNER",,,
,INTERIOR,,,sumber prima marsindo sukses,,,yadi@sharppointblinds.com ,yadi (68655880/081286186911),,Blinds Interior,,,
,GENERAL,T,,CV MAHAMERU,,ADE /IGUN,,81385272788,021-5993264,KAIN MAJUN,,,
,OIL,AD,,PT. Mafati Indonesia,,WINDA,,021-7414632 ,,SOLAR,,,
,IT,,,PT. Datascrip - ,,,,021-6544515 ext. 8112,021-6544811 / 12,IT PRODUCT,,,
,GENERAL,AD,RIDGID,PT Ekatama Citra Sukses,Jl. Pangeran Jayakarta 117 B-56,Bambang,sales@ekatamacs.com,"Office: (62 21) 6283325, 6265535, 6266240, 6266241","Fax: (62 21) 6009369, 6265538",EKA TEKNIK--> NON PPN,,,
,INSERT,AD,PRAMET,PT. SAMUDRA METALINDO SEJAHTERA,Jl. Kedasih V No. 138 A kawasan industri jababeka II,pak Yusuf,sales@samudrametalindo.com,Phone : 021-89835974,Fax       : 021-89835974,INSERT / HOLDER,,,
,CRANE,AD,TOYO,PT .Indah Jaya Teknik Presisi.,,,hoistij@yahoo.com,"Ph, 021 555 9375 ext - 2103","Fax, 021 556 0596",Hoist & Crane Division,,,
,OIL,AD,SHELL,PT. TRIBINA PANUTAN,Jl. Raya Bojonegara KM.2 No.7,sofie,,(0254) 5753219,(0254) 5753301/8176393934,oli hydraulik --shell,,,
,BANGUNAN,T,,Teguh Bina Jaya,DADAP,,,021-70605231,,TOKO BANGUNAN,,,
,PERALATAN LISTRIK,M,ICA,PT. INDODAYA CIPTA LESTARI,,Ibu riri / Bp. Suharno (08129184567),,021-6906020/6398670/6497451,,UPS / Panel,,,
,BAN,T,DUNLOP,mutiara motor (alex motor),,,,021-55954413,,ban mobil,,,
,GALVANIS,M,,PT. Karunia Berca Indonesia,,Ainun / yanuar,yanuarkbi@yahoo.co.id,Bpk. Yanuar(087771986375),Telp       : 0254-394133,Galvanis,,,
,OIL,AD,,lia lintas artha / WINDA,,,,021-74718548,021-7414632,solar/oli,,,
,PAINT,T,,BELLA WARNA ,dadap,,,021-55954445,,TOKO CAT - DADAP,,,
,PAINT,T,,BANGUN JAYA,dadap,akiun,,021-5559045,,TOKO CAT - DADAP,,,
,ELECTRONIC,T,MOTOROLA,ALNINDO ELECTRONIC,grogol,,,021-56942888,,"HT, CHARGER",,,
,RODA,T,,RODA JAYA,,PAK FERRY,,021-70762846,,RODA PU,,,
,RODA,T,,RODA CAKKA,,,,021-6242454,,RODA PU,,,
,BUILDING CONSUMABLES/NEEDS,T,CLARIS,MEGA MATAHARI,,,,021-6493236 / 021-6245435,,"EMBER, TEMPAT SAMPAH, ETC",,,
,ELECTRONIC,T,,ANUGERAH ELECTRONIC ,,,,021-55954438,89652494583,ELECTRONIC DADAP,,,
,ELECTRONIC,T,,MATAHARI ELECTRONIC,,,,021-92994618,,ELECTRONIC DADAP,,,
,INTERIOR,T,TOTO,CAHAYA TIMUR,Pangjay,,,021-6251618 / 021-6904917,,KERAMIK LANTAI / KRAN AIR,,,
,LISTRIK,T,PHILIP,PRIMA KENCANA,,,,021-6285033,,LAMPU ELECTRIC,,,
,LISTRIK,T,,MAKMUR PRATAMA,,,,021-3914317,,LAMPU ELECTRIC,,,
,LISTRIK,T,,JAYA MANDIRI - KENARI MAS,,,,021-39841962,,LAMPU ELECTRIC,,,
,PERCETAKAN,M,,WAHANA JAYA PRIMA,Jl Makaliwe Grogol,ASIONG,asionglie@yahoo.com,89655888999,,"CETAK AMPLOP, MEMO",,,
,KIMIA,AD,,PT NUR KARTIKA CEMERLANG,Jl. Industri selatan IV Blok EE No. 11L,indrawan,indrawan@nurkace.com,Phone : 021 89842810 / 021 5748924,Fax       : 021 89842809 / 021 5748888,Rust preventive,,,
,GENERAL,T,,MAJU JAYA STEEL,,SUPARMAN,,021-49040029/085103040029,81382586218,SHOE CHUCK / PLATE POTONGAN,,,
,ATK,T,,TOKO ATK SANJAYA DADAP,,irvan,,021-5555449,,TOKO ATK,,,
,MESIN,T,BOSCH,VISI TEKNIK,,KO ACHOI,,62201298,811162381,MESIN BRAND ,,,
,IT,AD,,PT SASANDO MILTI INTEGRASI,"Jl. M.H. Thamrin No.1, RT.1/RW.5, Menteng, ",Eka ,,021-23584569,81380903536,"TINTA, TONER DRUM",,,
,INTERIOR,,,BENGKEL LAS BESI CANDI,DADAP,IBU DEWI,,021-5559570,021-5560525,LAS KANOPI,,,
,INTERIOR,AD,,TOKO KACA,DADAP,KO AMING,,021-5559750,,KACA,,,
,MOBIL,T,,MATA MOTOR,DADAP,,,021-55963844,,BENGKEL MOBIL,,,
,LISTRIK,AD,SHINYOKU,SHINYOKU INDONESIA,MANGGA DUA,,,021-62305000,,LAMPU,,,
,STAINLESSS STEEL,T,,JKL / HECO,Jembatan Lima,JL RAYA PERANCIS GUDANG 28 BLOK. B1-B3,,021-6311707,021-6311708,PLAT & PROFILE SS,,,
,STAINLESSS STEEL,T,,ANGKASA PERINDO SAKTI,,LUCY / tantra,aps.jakarta@angkasastainless.com,021-6254488,021 6295124,PLAT & PROFILE SS,,,
,GENERAL,AD,,SUMBER UTAMA BEARING,krekot jaya molek blok C3/1,Dini KREKOT,,021-3440421,3524119,BEARING,,,
,GENERAL,T,,PT KONSTINDO,BATAM,INDRA,konstindo@yahoo.com,0778-433431,85370077272,ALUMINIUM SCAFOLDING,,,
,GENERAL,T,,CV KEMAS TEKNIK JAYA,,CILEGON; PAK HARIS,haris.irianto62@yahoo.com,0254-397744,87871110251,"WELTECH, KAWAT LAS",,,
,ATK,T,BAMBI,CV BERKAH CAHAYA ABADI,ITC Mangga Dua block E2 no.57,"PAK MULADI ,SOLIHIN",muladiksm@gmail.com,81373657336,021-62300470,ATK GROSIR,,,
,LISTRIK,T,,CAHAYA SURYA AUDIO,,PAK GUNAWAN,gunawan@imsindo.co.id,816982239,,KABEL,,,
,PERCETAKAN,M,,PD HASIL MAKMUR,,PAK SAINT,,87788253972 / 0818491001,,"CETAK KOP AMPLOP, BUKU",,,
,KIMIA,AD,UPS CLEAR PROTECTIVE COTING F 818,PT FERRYNDO ENTERPRISE,,IBU.AMI,,021-6240034,021-6264721,VARNISH COATING TRANSPARENT,,,
,POMPA,T,,INDO TEKNIK. COM,,PAK.NUR,,021-58906411,81291653435,POMPA CELUP,,,
,PERCETAKAN,M,,TEGUH PRINTING,,PAK DADANG,teguh_printing@yahoo.com,021-6493058,90546106,CETAK KARTU STOCK,,,
,PACKAGING,M,,PT MODERNPACK JAYA LESTARI,,PAK FERI,Modernpack@modernpack.co.id,021-5416778,021-5416779,KARDUS BARU,,,
,PACKAGING,M,,PT EKA DHARMA,,PAK ANDRI,sales@tng.ekadharma.com,021-5900160 ,,"LAKBAN, PLASTIC WRAPPING",,,
,SLING,M,,PT INDOSPLICE,"Jl.Pondok Pinang VII No. 3C,",IBU TRIYA,sales@indosplice.co.id / marketing@indosplice.co.id,"( 021) 751 7878,",021-7517887,WIRE ROPE SLING,,,
,GENERAL,AD,kobe,AMPLASINDO JATRATAMA PT,Jl. Pangeran Jayakarta Gg. Gatep No.17,NICCO,,"021) 6590747, 6592085",Fax: (021) 6499239,AMPLAS,,,
,KONTRAKTOR,,,SINARINDO ART MAKMUR,Komplek Latumenten Indah Blok. 39 O ,PAK ABENG,sinlog_tgh@yahoo.com,P  : 021 564 9703 | 021 999 86 473,F  : 021 564 9704,BANGUNAN,,,
,PACKAGING,T,,JAMPANG,DADAP,,,85218503760,,KAYU PALET BEKAS,,,
,PACKAGING,T,,GOPE,DADAP,,,93716445,,BOX KAYU BEKAS,,,
,OIL,T,,PAK WALUYO,CILEGON,,,81219910001,,SOLAR,,,
,INTERIOR,T,V-COOL,EKA PUTRA KACA FILM,MALL MGK KEMAYORAN LT.6 BLOK D12 NO.5,,,021-92915251,,KACA FILM,,,
,PACKING,T,,BERKAT PLASINDO,,JENI WIJAYA,,021-92773122,,"PLASTIK SAMPAH, KILOAN, KRESEK",,,
,SERVICE,T,,KING ELEKTRIK,,DANI,,021-92881412,021-71032296,REPAIR AC KULKAS DLL,,,
,BAHAN BANGUNAN,T,,BANDARA JAYA,,IRVAN,chensiauyen@yahoo.com,021-5555449,021-5559885,TOKO BANGUNAN,,,
,BAHAN BANGUNAN,T,,TB TEGUH BINA,DADAP,PAK HEDI,,0811191323 / 081383845988/22557288,,TOKO BANGUNAN,,,
,MESIN,AD,,MITRA PIRANTI SOLUSINDO,KELAPA GADING,IBU NOER,,62300489 | Flexi: (62 21) 6810 8088,0821 6099 8088  ,MESIN ABSENSI,,,
,OIL,AD,SHELL,PT SHELLINDO JAYA,,TIKWAN,,021-29313391,021-4520136,OIL,,,
,SLING,AD,SPANSET,SPAN SET,,Ibu Susan ,sales@spanset.co.id/susan@spanset.co.id,021-28510077,021-28510088,"WIRE ROPE, SLING",,,
,SLING,T,CHINA,PT WIE TA BAUT,DADAP,U/P BPK FERRI SONATA,ferri@weita-group.com,021-55910745,8119606900,"WIREROPE SHACKLE, ",,,
,OIL,T,,DWIKARSA,,Ms.Echa,,85374469127,021 7470 8273,SOLAR / OLI,,,
,IT,T,,SUPER COM,HARCO GLODOK,FANNY,skosmar05@gmail.com,81315973938,6283631 / 32,BARANG IT,,,
,ATK,T,,THEA THEO STATIONARY,TANGERANG,ARIES,theastationary@yahoo.co.id,021-55780659,81288880659,ATK,,,
,ELECTRONIC,T,,PT. STAR,Jl. K. H. Moh. Mansyur No. 11,PAK ALAN,www.avtech.co.id,Telp : 021-6332211,Hp.  : 081806383171,CCTV,,,
,GENERAL,T,,CV Cahaya Prima Rizki,,PAK HERU ,sales@cahayablast.com,021-5359418,,BIJI BLASTING,,,
,GENERAL,T,,PD. SINAR MAKMUR,Jln. Pelabuhan Kalibaru No.48 Rt.002/ 06,,Email : sinarmakmur_kayu@ yahoo.com,Tel : ( 021) 97821188,81510347788,KAYU DOLKEN / GELAM,,,
,SPAREPART,T,,CITRA TEKNIK,Citra Garden raya,PAK HERMAN,,021-5446642,,AKI Mobil / forklift,,,
,MESIN,AD,SHARK,PT SHARPRINDO DINAMIKA PRIMA,"Jl. Ps. Kemis No.5, Keroncong, Jatiuwung, ",U/P PAK FERRY,ferry.wiro@yahoo.com,021-5903411,83843924377,MESIN POTONG RUMPUT,,,
,PIPE/CASING PROTECTOR,M,,PT FAJAR TIMUR ,jl Bahagia II B3 no.11 jatiuwung,U/P PAK FRANSISKUS,fajartimurpt@rocketmail.com,021-5928131,81318460162,PLASTIC PROTECTOR,,,
,PIPE/CASING PROTECTOR,M,,PT. REMATE UTAMA PRIMA ,Jalan Krekot Jaya Blok A2/26,Agustinus,remate_u_p@yahoo.com,Phone      : +62-21-3459182,Fax           : +62-21-3803234,PLASTIC PROTECTOR,,,
,GENERAL,AD,,PT. BIMA EFISIEN SOLUSI TEKNIK,Ruko CBD @JABABEKA Blok D-15,Marcella,Email : silvent@bimacorp.com,Telp : +62 21 29082732 (Hunting),Fax : +62 21 29082823,AIR GUN,,,
,BAN,T,bridgestone,SINAR BAHAGIA,Jl. Gunung Sahari Raya No. 15 ABC,,E-mail. sinbah@dnet.net.id,"Phone. +62-21-6252922, +62-21-6281928","Fax. +62-21-6252879, +62-21-6253089",BAN MOBIL,,,
,IT,AD,,PT. Pericom Nusantara,Ruko Bahan Bangunan Blok F1 No. 8,Eka Purnamasari,E-mail  : eka.pericom@yahoo.com,Telp     : 021 6220 3588,Fax      : 021 600 9951,IT PRODUCT,,,
,ELECTRIC,AD,LG,PT. NELSINDO KARYA SEJAHTERA,Jl. Pangeran Jayakarta No. 143 L / M,,Email : calvina33@yahoo.com,"Ph    :  +6221. 624 8116, 6248116, 6494878, 6495627",Fax  : +6221. 6494368,AC,,,
,SAFETY,T,,GLOBAL MITRA PROTEKSINDO,"Komplek Perkantoran Mutiara Taman Palem Blok A-15 No. 28 , 11730",,,021 – 5435 3513,021 – 5435 3498,PEMADAM,,,
,GENERAL,T,,SURYA LOGAM,gedung LTC glodok lt SB blok. C6-7,U/P IBU DELIS,suryalogam42@yahoo.com,(021) 6288879 / 62320251,,HEXAGONAL SILVER STEEL,,,
,BUILDING CONSUMABLES/NEEDS,T,,TOKO PASAR BARU,Pasar Baru,,,021-3458848,021-3452206,SHOMPOO/SABUN JERIGEN,,,
,PRINTING,M,,Frindo Jaya Mandiri,Jl. Utama Sakti IV No. 9A.,u/p kusnawati,E-mail : frindojayamandiri@ yahoo.com,"Telp : ( 021) 999 56 151, 0888 1400 776",Fax : ( 021) 564 8807,label besi OTV ,,,
,LISTRIK,T,,PD CAHAYA MAKMUR,PERTOKOAN HWI LINDETEVES Lt.1 Blok.B no33/34,U/P IBU FINNA,cahaya_electric@yahoo.com,"TELP.021-6242825 , 6284826",FAX 021-6242824,Lampu,,,
,PACKAGING,T,,KRIS KARDUS,jalan kebon kacang 10 No 8 Tanah Abang jakarta Pusat,kris,,"(021) 98059042,087777108197/(021) 3103926",,KARDUS BEKAS,,,
,PERCETAKAN,M,,PT CAKRA ANUGERAH PERKASA,Jl. Kampung Bandan No. 10,Rita / HENI,,021-698 33121 / 690 4269 / 692 5502 / 690 5351,(62)-21-69833127,STICKER,,,
,BAN,T,DUNLOP,VELINDO BAN,grogol,Robin,,021-5673201,,BAN / VELK,,,
,LISTRIK,AD,,PT. Oscar Tunastama II,Jl. Kapuk Raya Cengkareng Blok.L No.17 ,, http://www.distributorvisalux.com/senterled-14186#sthash.rEF0CAul.dpuf,tlp 021-29518499,,electric visalux,,,
,MOBIL,AD,,PERDANA JAYA MOTOR,tangerang,pak surya,,081519291767,021-7494406,spare part mobil,,,
,GENERAL,M,,PT. MICS STEEL INDONESIA,Jl. Raya Inti Blok C4 No.3,Petrus Tri Yoediarto,Hp        : 0817-0839564,Phone : 021-8972928,Fax       : 021-8972931,potong plate,,,
,LISTRIK,T,,Toko Panel Mas Electric,Alamat HWI blok B45 lantai dasar,u/p pak acen,Hp.081908977975,Tlp 021-6253078,Fax 021-6293262,KABEL,,,
,,,,PT ST MORITA,Jl. Mesjid Bendungan no.10-11 Cawang,Pak Humala,,081397381078/082298439724,,pvc biru / putih,,,
,IT,T,,ITPRO TEKNOLOGI,GD MANGGA DUAMALL LT.1 NO.88,HADI,hadi@itprocomputer.com,02162304455/ 62304254/ 62303385,62303386,IT PRODUCT,,,
,SPAREPART,,,Global Makmur Teknindo,Alamat : Lindeteves Trade Center (LTC GLODOK),JOE,Joe.marketinggmt@gmail.com,62310475,-85920759777,kebutuhan Forklift,,,
,GENERAL,T,,PT BUANA GEARINDO PERKASA,JL Nanas no.13 komp. Pagebangan ciwaduk cilegon,u/p maman,email pt.buanagearindoperkasa@gmail.com,P :0254-395958,hp .0811127778,plate potongan ,,,
,PER / SPROCKET,T,,PT INDOBELTRACO JAYASEMESTA,Lindeteves trade center gf1 A1 8-9,,email sales@indobeltraco.com,P 021-62370888,F 021-62200698,RANTAI,,,
,PER / SPROCKET,T,,TOKO LOGAM MULIA JAYA,JL KAPUK RAYA 89 DUTA INDAH KAPUK B11,yupiter,lmj_info@yahoo.com,T 021-54395031 / 68538492,54391701,RANTAI,,,
,PER / SPROCKET,T,,TOKO ALFA & OMEGA,LTC GLODOK BLOK A27-28,u/p ibu perlita,tokoper@yahoo.com,T 021-601216 / 62311152,021-6231153,PER,,,
,CONVEYOR,T,,CV ALAM KARYA GEMILANG,JL pasir angin no.18 wargajaya cigudeg bogor,u/p kamaludin,,hp 08778697467 / 08561303348,,RUBBER CONVEYOR,,,
,INTERIOR,AD,,PT CITRA MEGAH SELECOMINDO,ruko bukit gading indah B8 kelapa gading,,,021-4513670,021-4513671,REFLECTO GLASS,,,
