,,,,,,,,,,,
,(PP09 &11) SS WELD NON CHINA,3,M,BUTTING, Kerstin.Kahlstorf@butting.de,GERMANY,"UP TO 80"" ",+49 (0) 5834 50 -7217,+ 49 (0) 5834 50 – 3 20,Kerstin,
,(PP25) CS WELD (A53 GR A),,M,CAHAYA LEGUNA,cahayaleguna@gmail.com,INDONESIA,"UP TO 8"" PPI",(021) 6402875/0813 1649 8744 ,,IBU MUTHIA,
,PIPA SS & DUPLEX SMLS NON CHINA ,,M,CENTRAVIS, aserdjuk@centravis.com,UKRAINE,"UP TO 8""",+38 067 63 53 113,,Andrey Serdyuk,
,FORGED FITTINGS CS,,M,CHERO,grandi.massimo@cheropiping.com,ITALY,,+39 02 2664058 ,,Massimo Grandi,
,PLATE SS ,3,M,COLUMBUS,juan.gaminde@gmail.com/indoatlantic@indoatlantic.com/juan.gaminde@indoatlantic.com,EUROPE,MILL COLUMBUS,+62-21-7590 17 10,+62+21-7590 17 20,MR. GAMINDE,
,FITTINGS BW CS Non China,3,S,CONTROMATIC,venny.thjung@contromatic.co.id,INDONESIA,"STOCKIST ( MAX 24"" )",+6221-5800550 (ext.315),+6221-5800111 ,VENNY T.,
,FORGED FITTINGS CS Non China,,S,CONTROMATIC,venny.thjung@contromatic.co.id,INDONESIA,,+6221-5800550 (ext.315),+6221-5800111 ,VENNY T.,
,(PP01)Pipa CS smls non china,2,S,CONTROMATIC,venny.thjung@contromatic.co.id,INDONESIA,"MAX 12""",+6221-5800550 (ext.315),+6221-5800111 ,VENNY T.,
,VALVE NON CHINA,2,S,CONTROMATIC,venny.thjung@contromatic.co.id,INDONESIA,"MAX 12""",+6221-5800550 (ext.315),+6221-5800111 ,VENNY T.,
,VALVE NON CHINA,,M,CRANE ENERGY,ftobing@craneenergy.com,INDONESIA,MILL (CRANE),89907980-82,89907958,FINO TOBING,
,"Pipa CS,LTCS smls non china",,AD,CTA PACIFIC,kate.chan@ctaasiapacific.com,ITALY,"tenaris up to 24""",+ 852 23 779 770,85223779785,Kate,
,FORGED FITTINGS ,,M,DELCORTE,nathalie@delcorte.com; ldelcorte@delcort,FRANCE,MILL,+33 0 327 63 05 30,+33 0 327 39 90 29,MR. LUDOVIC/NATHALIE,
,FITTINGS BW,,M,ERNE,claudia.ortlechner@ernefittings.com/clarissa.pfalzer@ernefittings.com,AUSTRIA,"UP TO 36""",+43 5524 501 242/+43 676 83 501 242,+43 5524 501 8242    ,CLAUDIA/CLARISSA,
,VALVE NON CHINA,,AD,Federal Hardware Engineering Co. Pte Ltd,michaeltay@fedsin.com.sg,SINGAPORE,KVC,65 68404-177,65-9733 1648,Jimmy Foo ,
,FLANGES SS,,M,"Felix Technology Co., Ltd",felix@fete.co.kr/ hailiekim@fete.co.kr/ stevechoi@fete.co.kr,KOREA,,+82-51-796-7800,+82-51-796-7898,T. H. Noh,
,VALVE NON CHINA,,AD,FLOW SOLUTION,dwi@flowsolution.co.id,INDONESIA,,021-3920348; 021-3903988/89 Ext. 7226,,MS. DWI YULIANA,
,(PP09 &11) PIPE SS WELD,,M,"FROCH ENTERPRISE CO., LTD.",roger.lin@froch.com,TAIWAN,ASTM A778 ? ASTM A312 ? ASTM A358,+886-5-5571669/'+886-936435553,,Roger Lin,
,FLANGES NON CHINA,,M,FUTAWA FLANGES WORKS CO Ltd,kanafusa@futawa-flange.com/takayoshi@crest.ocn.ne.jp/kn8227@ybb.ne.jp,JAPAN,,81-724361420,81-724371006 ,T. Kanafusa,
,FITTINGS BW  CS Non China,4,S,GAMAKO,hartoyo@gamako.co.id ,INDONESIA,"STOCKIST ( MAX 24"" )",29460111 EXT 313,6246236-37,FEENY/ANNA,
,(PP09 &11) SS SMLS NON CHINA,4,S,GANA STEEL,swpark@ganasteel.com,KOREA,"STOCKIST ( MAX 16"" )",,,MR. PARK,
,(PP09 &11) SS WELD NON CHINA,5,S,GANA STEEL,swpark@ganasteel.com,KOREA,"STOCKIST ( MAX 16"" )",,,MR. PARK,
,(PP09 &11) SS WELD NON CHINA,4,S,"GATRA MAPAN MANDIRI, PT",setyawan@gatramm.com,INDONESIA,,6251781,6007152,KOH SUNG SUNG,
,(PP09 &11) SS WELD NON CHINA,5,M,GEMINOX, info@gieminox.com ,ITALY,"UP TO 52"" A358",+39.0445.575959 ,+39.0523.991288 ,,
,FLANGES NON CHINA,,S,GMS KOREA,scarlett@gmskorea.biz,KOREA,"STOCKIST ( MAX 48"" - A350 Available )",82-31-972-5634(ex.201)   ,82-31-972-5633     ,SCARLET,
,PLATE CS,1,AD,GRACIA,grcabadi@gmail.com,INDONESIA,STOCKIST,021- 6280530,021-6284787,PAK DAVID/PAK DARSONO,
`,PROFILE CS ,1,AD,GRACIA,grcabadi@gmail.com,INDONESIA,STOCKIST,021- 6280530,021-6284787,PAK DAVID/PAK DARSONO,
,(PP09 &11) SS WELD NON CHINA,3,S,GREAT PLAINS ,apai@gpss.com,SWITZERLAND,"STOCKIST ( MAX 16"" )",+64 3 5390 448,+64 3 5390 145,MR. AJIT PAI,
,PLATE CS,4,M,GUNAWAN DIAN JAYA STEEL,domestic@gunawansteel.com,INDONESIA,mill,031 7490598 EXT158,0317481939/7490581,PAK DWI,
,PLATE CS,1,M,GUNUNG GARUDA,pjl16@grdsteel.com   ,INDONESIA,MILL,(021) 8900 111   ext 6119 / 0821 12337714 ,021.89838198,PAK FARID,
,FITTINGS BW SS SMLS (304/L & 316/L) ,3,S,HALIMAS,,INDONESIA,"UP TO 24"" EX TAIWAN / MALAYSIA",6018308-6263237,6263238,BAMBANG/Santoso/HANDI,
,(PP09 &11) SS SMLS EX CHINA,2,S,HALIMAS,,INDONESIA,"STOCKIST ( MAX 6"" )",6018308-6263238,6263238,BAMBANG/Santoso/HANDI,
,PIPA SS & DUPLEX SMLS NON CHINA ,,M,HANWA,darwin@hanwa.co.id / atsumi-zenta@hanwa.co.jp,JAPAN ,"UP TO 8"" KOBE",(021)57853033/ 08111-549-026  ,,DARWIN/ ATSUMI SAN,
,(PP01)Pipa CS smls ex china,3,M,HANZHOU CIEC,tangl@ciec.com/lrl@ciec.com,CHINA,"3/4""-26""",+86-571-89732303/+86-15605711662,,LUO,
,(PP25) CS WELD (A53 GR A),1,S,HARAPAN MASA,marketing@harapanmasa.com,INDONESIA,"STOCKIST ( MAX 24"" )",6006113-6594378-6394136,,IBU FERO,
,PROFILE & PLATE CS,4,S,HARAPAN MASA,marketing@harapanmasa.com,INDONESIA,STOCKIST,6006113-6594378-6394136,,IBU FERO,
,FITTINGS BW CHINA,,M,HEBEI FITTINGS,csfittings@live.com,CHINA,MILL,,,HENRY,
,(PP01)Pipa CS smls ex china,4,M,HENGYANG VALIN,scottow@hysteeltube.com.cn / liaoxj@hysteeltube.com.cn,CHINA,"2""-24""",,,SCOTTOW,
,CASING & TUBING,,M,HENGYANG VALIN,scottow@hysteeltube.com.cn / liaoxj@hysteeltube.com.cn,CHINA,"UP TO 20""",,,SCOTTOW,
,(PP09 &11) SS SMLS NON CHINA,2,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,"up to 16""",65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,(PP53) duplex non china,1,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,"up to 8""",65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,(PP09 &11) SS WELD NON CHINA,1,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,"up to 30""",65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,FITTINGS BW SS SMLS (304/L & 316/L) ,,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,"up to 12""",65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,FITTINGS BW DUPLEX,,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,"up to 8""",65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,(PLT09 &11) SS,1,S,Hong Hock Hardware Pte Ltd,chlow@honghock.com.sg/sookfern@honghock.com.sg,SINGAPORE,up to 25 mm,65-62943832,65-62966626,MR. C.H. LOW/ Sook Fern,
,(PP01)Pipa CS smls ex china,4,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,"STOCKIST ( MAX 16"" )",65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,(PP25) CS WELD (API-5L GR B / A53 GR B),,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,"UP TO 36""",65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,"Pipa CS,LTCS smls non china",3,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,"STOCKIST ( MAX 24"" )",65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,FLANGES NON CHINA,,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,"STOCKIST ( MAX 48"" - A350 Available )",65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,FITTINGS BW CS Non China,,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,"STOCKIST (  WPB s/d 48"" ; WPL6 s/d 24"" )",65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,FORGED FITTINGS ,,S,HUP STEEL ,emily.ong@hupsteel.com,SINGAPORE,STOCKIST ( A350 Available ),65 64192154/64192108,65 64192122/3,MRS. EMILY ONG,
,FLANGES CS CHINA,,S,IKM,ritel@indokaryamandiri.com;tini@indokaryamandiri.com,INDONESIA,"STOCKIST ( MAX 24"" )","6281157/59,6280407",6281158,IBU ERNA/DIAN,
,FORGED FITTINGS ,,S,IKM,ritel@indokaryamandiri.com;tini@indokaryamandiri.com,INDONESIA,STOCKIST ,"6281157/59,6280408",6281158,IBU ERNA/DIAN,
,FITTINGS BW SS SMLS (304/L & 316/L) ,2,S,IKM,ritel@indokaryamandiri.com;tini@indokaryamandiri.com,INDONESIA,"UP TO 12""  EX TAIWAN / MALAYSIA","6281157/59,6280410",6281158,IBU ERNA/DIAN,
,PIPE NICKEL ALLOY,6,M,INOX TECH,fgiammetta@inoxtech.com,ITALY,,+39 0425 605400,,Francesco Giammetta,
,(PP53) duplex non china,3,S,INTERNATIONAL STAINLESS,dchen@intls.com.sg,SINGAPORE,,,,DAVID CHEN,
,FITTINGS BW DUPLEX,,S,INTERNATIONAL STAINLESS,dchen@intls.com.sg,SINGAPORE,"up to 8""",,,MR. C.H. LOW,
,FITTINGS BW SS SMLS (304/L & 316/L) ,,S,INTERNATIONAL STAINLESS,dchen@intls.com.sg,SINGAPORE,"UP TO 8"" 316L ONLY", , ,DAVID CHEN,
,FLANGES SS NON CHINA,,S,INTERNATIONAL STAINLESS,dchen@intls.com.sg,SINGAPORE,"UP TO 12"" 316L & DUPLEX",,,DAVID CHEN,
,(PP01)Pipa CS smls ex china,1,S,INTI SUMBER,retailgroup5@intisumberbajasakti.com,INDONESIA,,,,IBU JULEHA / SARA,
,PROFILE & PLATE CS,3,S,INTI SUMBER,retailgroup5@intisumberbajasakti.com,INDONESIA,STOCKIST,6006113-6594378-6394136,,IBU FERO,
,"Pipa CS,LTCS smls non china",,M,ISCOR (ARCELLOR MITAL),tj@asialinkz.com.sg,SINGAPORE,MILL (ARCCELOR MITAL),,,TJ,
,PROFILE CS ,1,M,"ISPAT PANCA PUTERA, PT",satrio.Wibowo@ispatbukit.com,INDONESIA,MILL,021 40708888 Ext. 3148 ,021 884 13 33          ,SATRIO HARLEY,
,PIPE ALLOY smls non china,1,M,JFE SHOJI,krisna@jfe-shoji.co.id,JAPAN,"2""-16""",,,PAK KRISNA,
,"Pipa CS,LTCS smls non china",,M,JFE SHOJI,krisna@jfe-shoji.co.id,JAPAN,"2""-16""",,,PAK KRISNA,
,PIPA CS WELD ERW/LSAW ,,M,JFE SHOJI,krisna@jfe-shoji.co.id,JAPAN,"UP TO 80"" JFE",,,PAK KRISNA,
,(PP01)Pipa CS smls ex china,2,M,"Jiangyin City Changye Metal Materials Co.,Ltd",liushanshan_52633@163.com,CHINA,"3/4""-24 (JST PIPE)",,,SHANSHAN,
,FITTINGS BW CHINA,,M,JIANGYIN TIANNING  ,sales@nfjsgj.com,CHINA,MILL,,,OLINA ZHOU,
,PIPE NIPPLE,1,S,Kah Lam Hardware Engineering Pte Ltd,chenmei@kahlam.com.sg,SINGAPORE,,(65) 6863 2887     ,(65) 6863 2838 ,MS. KOH,
,(PP09 &11 &14 ) SS SMLS NON CHINA,1,S,"KANGLIM CSP CO., LTD.",kelly@klcsp.com/ rooney@klcsp.com,KOREA,STOCKIST ,+82 51 309 1051,,KELLY,
,PIPE NICKEL ALLOY,1,S,"KANGLIM CSP CO., LTD.",kelly@klcsp.com/ rooney@klcsp.com,KOREA,STOCKIST ,+82 51 309 1051,,KELLY,
,(PP09 &11) SS WELD NON CHINA,4,S,"KANGLIM CSP CO., LTD.",kelly@klcsp.com/ rooney@klcsp.com,KOREA,STOCKIST ,+82 51 309 1051,,KELLY,
,"Pipa CS,LTCS smls non china",,S,"KANGLIM CSP CO., LTD.",kelly@klcsp.com/ rooney@klcsp.com,KOREA,"STOCKIST UP TO 24""",+82 51 309 1051,,KELLY,
,PIPE ALLOY smls non china,2,S,"KANGLIM CSP CO., LTD.",kelly@klcsp.com/ rooney@klcsp.com,KOREA,STOCKIST ,+82 51 309 1051,,KELLY,
,(PP01)Pipa CS smls non china,1,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,"MAX 6"" TR",29460111 EXT 313,6246236-37,FENNY/ANNY,
,FITTINGS BW CS Non China,1,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,"STOCKIST ( MAX 24"" )",29460111 EXT 313,6246236-37,FEENY/ANNA,
,(PP09 &11) SS SMLS NON CHINA,1,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,"STOCKIST ( MAX 4"" )",29460111 EXT 313,6246236-37,FENNY/ANNA,
,FITTINGS BW SS SMLS (304/L & 316/L)  ,1,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,"UP TO 12"" EX TAIWAN / MALAYSIA",29460111 EXT 313,6246236-37,FENNY/ANNA,
,FORGED FITTINGS ,,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,STOCKIST ,29460111 EXT 313,6246236-37,FENNY/ANNA,
,FLANGES NON CHINA,,S,KARYA PRIMA SUPLINDO,anna@karyaprimasuplindo.co.id/fenny@karyaprimasuplindo.co.id,INDONESIA,"STOCKIST ( MAX 12"" - Taiwan China )",29460111 EXT 313,6246236-37,FENNY/ANNA,
,(PP01)Pipa CS smls ex china,3,S,"KARYAWAJA EKAMULIA,PT",sales@karyawaja.com,INDONESIA,"up to 24""",,,PAK INDRA/PAK PHILIP,
,PIPE ALLOY smls non china,2,AD,KEONWOOMETALS,yang@keonwoometals.com,KOREA,"up to 16"" NSS",,,MR. JUNG,
,(PP25) CS WELD (API-5L GR B / A53 GR B),,M,KHI,muhammad.fajar@khipipe.com/syamsul.haris@khipipe.com,INDONESIA,"UP TO 20""",(62 – 21) 5212761,(62 – 21) 5204002,PAK FAJAR/PAK SYAMSUL,
,FITTINGS BW CS Non China,,S,Kim Seng Huat Hardware Pte Ltd,tingyeh.chiew@ksh.com.sg,SINGAPORE,,+65 6572 5720  ,(65) 6863 1828,Chiew Ting Yeh ,
,VALVE CHINA,1,M,KOJO,sales@kojocn.com,CHINA,KOJO,,,NEIL,
,PROFILE CS ,2,M,KRAKATAU OSAKA STEEL/ KRAKATAU WAJATAMA,candra@kwosm.co.id/matsui@kwosm.co.id,INDONESIA,"MILL (Besi Beton, Hbeam, IWF, UNP, INP)","(021) 5221248, 5221267, 5200676",,PAK CHANDRA/ MATSUI SAN,"RM D-2501, TRUMP WORLD MARINE, WOO-DONG #47, MARINE CITY 2-RO, HAEUNDAE-GU, PUSAN, KOREA?"
,PLATE CS,2,M,KRAKATAU POSCO,risza.ratumuliartha@krakatauposco.co.id,INDONESIA,8-60 MM,0254-369700 ext. 3029,,IBU RISZA,"RM D-2501, TRUMP WORLD MARINE, WOO-DONG #47, MARINE CITY 2-RO, HAEUNDAE-GU, PUSAN, KOREA?"
,PLATE CS,3,M,KRAKATAU STEEL,kp811651@krakatauposco.co.id / hari.ss@krakatauposco.co.id,INDONESIA,"MILL START FROM 2,3-25MM",08118054383,,PAK BAYU,"RM D-2501, TRUMP WORLD MARINE, WOO-DONG #47, MARINE CITY 2-RO, HAEUNDAE-GU, PUSAN, KOREA?"
,FITTINGS BW,,M,KS FITTING & FLANGE CO.,kst6@kstechco.co.kr,KOREA,KS TECH,+82-51-742-4884,+82-51-742-2319 / 82-51-742-5896,SUE,
,FLANGES NON CHINA,,M,KS FITTING & FLANGE CO.,kst6@kstechco.co.kr,KOREA,MILL,+82-51-742-4886,+82-51-742-2319 / 82-51-742-5898,SUE,
,FORGED FITTINGS ,,M,KS FITTING & FLANGE CO.,kst6@kstechco.co.kr,KOREA,MILL,+82-51-742-4888,+82-51-742-2319 / 82-51-742-5900,SUE,
,BOLT & NUT,1,S,LARIS,laris_dm@yahoo.com,INDONESIA,STOCKIST,5640663,,MARTIN,
,Plywood Case,,S,LEE WUNG WOODEN BOXES CO. PTE. LTD,seanphun@leewung.com.sg /gwen@leewung.com.sg,SINGAPORE,,+65 6269 7388/63697388,+65 6269 7389/6369 8178,SEAN/LEE WUNG,
,ROUND BAR ASSENTAL,,S,LOGAM JAYA,,JAKARTA,STOCKIST,6499992,6499992,PAK HASSAN,
,(PP01)Pipa CS smls ex china,5,M,LONTRIN,harry@lontrin.com/ allen@lontrin.com,CHINA,MILL LONTRIN,,,,
,(PP09 &11) SS WELD NON CHINA,2,M,LS METAL,sckang@lsmetal.biz,KOREA,"UP TO 80"" A358",,,Mr. Kang,
,FLANGES NON CHINA,,M,MAASS GLOBAL SINGAPORE Pte Ltd,aklow@maassglobal.com.sg,SINGAPORE,MILL,,,DAVID,
,FORGED FITTINGS ,,M,MEGA SPA,"fabbris@mega-fittings.com,mauro@mega-fittings.com",ITALY,MILL,,,MR ANGELO FABBRIS,
,FLANGES NON CHINA,,M,MELESI,olimpia.radogna@melesi.it/aldo.combi@melesi.it,ITALY,MILL,,,Mrs. Olimpia Radogna/ ALDO,
,(PP01)Pipa CS smls ex china,2,AD,MENARA MADJU,menara@cbn.net.id,INDONESIA,"hengyang 2-14"" ",,,IBU YATI,
,"Pipa CS,LTCS smls non china",,AD,METAL ONE,hoo@mtlo.or.id,INDONESIA,MILL,,,MR. HOO,
,FLANGES NON CHINA,,M,METALFAR,sales@metalfaritaly.com,ITALY,MILL,,,MR. G.  BINELLI,
,CUTTING PLATE,,SV,"MICS STEEL INDONESIA, PT",Petrus.yudiarto@mics.co.id,INDONESIA,, 021-8972928,021-8972931,PAK PETRUS,
